"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","ANXDEP","=~","ANXDEP1",0.703,0.013,54.322,0,0.678,0.728
"2","ANXDEP","=~","ANXDEP2",0.55,0.012,44.01,0,0.525,0.574
"3","ANXDEP","=~","ANXDEP3",0.686,0.019,36.629,0,0.649,0.722
"4","ANXDEP","=~","ANXDEP4",0.658,0.015,44.288,0,0.628,0.687
"5","ANXDEP","=~","ANXDEP5",0.477,0.012,39.416,0,0.454,0.501
"6","ANXDEP","=~","ANXDEP6",0.816,0.01,81.619,0,0.797,0.836
"7","ANXDEP","=~","ANXDEP7",0.804,0.01,82.117,0,0.785,0.824
"8","ANXDEP","=~","ANXDEP8",0.803,0.009,92.185,0,0.786,0.82
"9","ANXDEP","=~","ANXDEP9",0.757,0.009,87.135,0,0.74,0.774
"10","ANXDEP","=~","ANXDEP10",0.691,0.015,45.505,0,0.661,0.721
"11","ANXDEP","=~","ANXDEP11",0.688,0.009,75.353,0,0.67,0.706
"12","ANXDEP","=~","ANXDEP12",0.748,0.021,34.811,0,0.706,0.79
"13","ANXDEP","=~","ANXDEP13",0.713,0.008,84.554,0,0.697,0.73
"14","WITHDEP","=~","WITHDEP1",0.766,0.014,56.468,0,0.74,0.793
"15","WITHDEP","=~","WITHDEP2",0.622,0.012,51.294,0,0.599,0.646
"16","WITHDEP","=~","WITHDEP3",0.704,0.014,50.892,0,0.676,0.731
"17","WITHDEP","=~","WITHDEP4",0.721,0.012,60.469,0,0.698,0.745
"18","WITHDEP","=~","WITHDEP5",0.512,0.013,39.409,0,0.486,0.537
"19","WITHDEP","=~","WITHDEP6",0.693,0.016,44.064,0,0.662,0.724
"20","WITHDEP","=~","WITHDEP7",0.854,0.011,79.061,0,0.833,0.876
"21","WITHDEP","=~","WITHDEP8",0.777,0.013,58.65,0,0.751,0.803
"22","SOMATIC","=~","SOMATIC1",0.74,0.016,45.381,0,0.708,0.771
"23","SOMATIC","=~","SOMATIC2",0.542,0.019,28.202,0,0.505,0.58
"24","SOMATIC","=~","SOMATIC3",0.715,0.023,31.284,0,0.67,0.76
"25","SOMATIC","=~","SOMATIC4",0.848,0.021,39.792,0,0.806,0.89
"26","SOMATIC","=~","SOMATIC5",0.576,0.017,34.604,0,0.544,0.609
"27","SOMATIC","=~","SOMATIC6",0.561,0.014,39.467,0,0.533,0.588
"28","SOMATIC","=~","SOMATIC7",0.74,0.014,54.409,0,0.714,0.767
"29","SOMATIC","=~","SOMATIC8",0.495,0.028,17.384,0,0.439,0.551
"30","SOMATIC","=~","SOMATIC9",0.448,0.019,23.719,0,0.411,0.485
"31","SOMATIC","=~","SOMATIC10",0.663,0.012,54.673,0,0.639,0.686
"32","SOMATIC","=~","SOMATIC11",0.535,0.025,21.448,0,0.486,0.583
"33","SOCIAL","=~","SOCIAL1",0.636,0.011,57.049,0,0.614,0.658
"34","SOCIAL","=~","SOCIAL2",0.703,0.011,63.723,0,0.682,0.725
"35","SOCIAL","=~","SOCIAL3",0.793,0.009,85.497,0,0.775,0.812
"36","SOCIAL","=~","SOCIAL4",0.712,0.009,78.028,0,0.694,0.73
