"","ANXDEP1","ANXDEP2","ANXDEP3","ANXDEP4","ANXDEP5","ANXDEP6","ANXDEP7","ANXDEP8","ANXDEP9","ANXDEP10","ANXDEP11","ANXDEP12","ANXDEP13","WITHDEP1","WITHDEP2","WITHDEP3","WITHDEP4","WITHDEP5","WITHDEP6","WITHDEP7","WITHDEP8","SOMATIC1","SOMATIC2","SOMATIC3","SOMATIC4","SOMATIC5","SOMATIC6","SOMATIC7","SOMATIC8","SOMATIC9","SOMATIC10","SOMATIC11","SOCIAL1","SOCIAL2","SOCIAL3","SOCIAL4","SOCIAL5","SOCIAL6","SOCIAL7","SOCIAL8","SOCIAL9","SOCIAL10","SOCIAL11","THOUGHT1","THOUGHT2","THOUGHT3","THOUGHT4","THOUGHT5","THOUGHT6","THOUGHT7","THOUGHT8","THOUGHT9","THOUGHT10","THOUGHT11","THOUGHT12","THOUGHT13","THOUGHT14","THOUGHT15","ATTENT1","ATTENT2","ATTENT3","ATTENT4","ATTENT5","ATTENT6","ATTENT7","ATTENT8","ATTENT9","ATTENT10","ATTENT11","RULE_BR1","RULE_BR2","RULE_BR3","RULE_BR4","RULE_BR5","RULE_BR6","RULE_BR7","RULE_BR8","RULE_BR9","RULE_BR10","RULE_BR11","RULE_BR12","RULE_BR13","RULE_BR14","RULE_BR15","RULE_BR16","RULE_BR17","RULE_BR18","AGGRESS1","AGGRESS2","AGGRESS3","AGGRESS4","AGGRESS5","AGGRESS6","AGGRESS7","AGGRESS8","AGGRESS9","AGGRESS10","AGGRESS11","AGGRESS12","AGGRESS13","AGGRESS14","AGGRESS15","AGGRESS16","AGGRESS17","AGGRESS18"
"ANXDEP1",0,-0.0862281109618074,-0.0818938008319289,-0.129320039852293,-0.0655874946572014,-0.085970015928514,-0.157224799523957,-0.120574773274518,-0.101029137202143,-0.0693738319347219,-0.0961241258100126,-0.174160733497138,-0.115811048187833,0.0385459727216886,-0.00957014792155647,0.0593944044343329,0.0317159179784939,0.0702328667808287,0.013082681774698,0.103419394160187,-0.00464071522767495,0.045678822523559,0.040855896008581,0.0609646598659986,0.0894055197837517,0.0176086953835164,0.0230977599511606,0.0158377560603952,0.074971509219473,0.017271932111324,0.0477358782374381,0.0167859872516235,0.155975332205708,0.129855768892405,-0.0112222130388356,0.0971286454161824,0.0575261693004537,0.0626709970312713,0.0768251303134507,-0.00482587853487493,-0.0128699891932925,0.0656683463132526,0.0190620584254614,0.00952150025705545,0.00790375476717908,0.00263368797225816,-0.0169743526949382,-0.0277853874948543,-0.0137646405055301,-0.119259927955322,0.00169305162501837,-0.0176364301227958,-0.0271560549639292,0.000957143078587963,0.0457602940591187,-0.0295888330678342,0.0024880227828985,-0.023506308081746,0.0896464352576603,0.0233000306088341,-0.0203688385200742,-0.0242844057789008,0.0127231764185582,0.14482800820985,0.00520987394007122,-0.0502309856851487,-0.0162954635266942,-0.0456546572002784,0.0196752900798621,-0.100535989562114,-0.0505235371385062,-0.0863889537785565,-0.066184960724702,-0.0113195014357477,-0.0567842625944341,0.0236521887086534,-0.0356497136966557,0.0108316888161195,-0.0333377683823943,-0.0457702061668907,-0.0480450030997107,0.0166444091145053,0.0758880886906507,-0.0294065083321823,0.0157857806092047,-0.780462053942378,-0.074951102389323,0.061902558288552,-0.0369751413343232,0.0873942129544765,0.0297689243361949,-0.00908730474376018,-0.0189242580119796,-0.0642928665598992,-0.000828338621464975,-0.040069231564701,0.178460110102459,0.000170455405273773,0.115401044686783,0.126939904651138,0.0347825013955737,-0.031948049790003,0.0818977721340767,-0.0505678387216978,0.0374441690576609
"ANXDEP2",-0.0862281109618074,0,0.0248547424477933,0.0561270117120642,0.0177582748344757,-0.186333502070408,-0.12208073710056,-0.00120135689657341,0.15339693984978,-0.0248448967749142,0.00587864350941064,-0.124210513511967,0.0281870025632606,-0.021379891417674,0.00527193222671954,0.0652454371468646,0.0498830423071351,0.189525499065733,0.0299979559616959,0.00249704524587702,0.0645216262025912,0.138056379810352,0.0789498122525359,0.0828122180936303,0.0649497282121663,0.0713414118309544,0.0347635367754175,0.0530161814480465,0.0830742941943203,0.0847987811010338,0.0453018969751418,0.0430806314190652,0.176127655204627,0.0463223079088345,-0.0731888855840842,0.00306655882370505,-0.0113301238922839,-0.0106681439476761,-0.003786978781749,-0.0346298101242747,0.0151645308461686,0.049164951872527,0.0190735767977898,0.0760507189332435,-0.0166098081451923,0.0838381053003295,0.0526898844516788,-0.00344260283439385,0.00225535239447208,0.00133373783219873,0.0463696961680279,0.039120218715556,0.0263375444775854,0.0672055975633443,0.00186891170838349,0.0229454015119263,0.010545488826494,0.0555733735304639,0.0186503086844603,-0.0220143947045035,-0.0218851404436064,-0.0389594014937361,-0.0384607112071228,0.0523621463475761,0.0271080853084698,-0.0315944903510704,-0.0281286334770582,-0.0352942846842167,0.0542766882439896,0.163979060372774,-0.0889785405382913,-0.0837349637019367,-0.0606759012104755,-0.0604070154587028,0.014343044355638,-0.0257127643316885,-0.104579598735023,0.00942900431643817,-0.141748853884896,-0.105128171681583,-0.0619088379014089,0.0382425063237095,0.0379692609278945,-0.0523314955345654,-0.00440102808694703,0.338035493231099,-0.0994326883547635,-0.0766741619046158,-0.0932521492541028,-0.000712559831533288,-0.0578496741765679,-0.0908812497066634,-0.0684494250500042,-0.0965734890106105,-0.0905195154521213,-0.080721196554135,-0.0226821390665558,-0.026577151979382,0.00165442096912749,0.0163355351884969,0.0332842286887456,-0.0358075929825065,-0.0347840272593573,-0.0739071745714132,-0.0299769666932873
"ANXDEP3",-0.0818938008319289,0.0248547424477933,0,0.0744752970836534,0.0392881531550411,-0.110698209390176,-0.0261161317112363,-0.113463836922223,-0.0114784638221315,-0.0146280222574457,-0.030964907695428,-0.0410057580403865,-0.0100341803872822,0.0515919671592484,0.10200124466693,0.0901753737803039,0.0345043191001746,0.158237990424381,0.0634955884922739,0.134899218944781,0.105985146340944,0.0874509803010356,0.117627800221074,0.0952882771690516,0.0645174179370821,0.0549001507285885,0.0628480998662079,0.130240000284563,0.109515943656627,0.0255242362857855,0.128574469375599,0.108149609029617,0.102439515014112,0.130376619605623,0.0388751860563928,-0.0366218597047132,0.135198635579069,-0.0530169295312295,0.19706465066584,0.100435302754437,-0.0388243097354454,0.0336691970538214,0.0390727598420859,0.0717460742785425,0.186792280815791,-0.00653018237732889,0.0217515942839958,-0.0214798087994291,0.0765988296835416,-0.0303853653644543,0.000105606160481442,0.0287535035432214,0.0388677095561853,-0.0300480791847272,-3.07796400911831e-05,0.016708235860928,-0.0202028219816668,0.0775535406488077,-0.000321996413607084,-0.045945239232803,-0.12094603351732,-0.0574411509056066,-0.0716101574027445,0.0352110705935357,0.0033745398500365,-0.0908018431153339,0.072696708605043,-0.0708619922940224,0.0161336697916844,0.235908174009501,-0.161234361380836,-0.132833486301938,-0.0746736506184216,-0.157715405111786,-0.0290635101130079,0.0818149462021033,-0.0155533238978952,-0.0267790377537577,-0.141777329418438,-0.109558670607256,-0.00927657726691372,0.0141998526893765,0.0213712597369196,0.1265422654033,0.243644955454363,0.439451618163581,-0.108961524061689,-0.0730735989641078,-0.108485712936089,-0.000699427155472609,-0.0604262583135434,-0.0725941460552559,-0.121468302066394,-0.0408499564111525,0.0224593086335409,-0.0273851671862759,-0.0363258164186265,-0.0411922849556963,0.0136469764695923,0.0172802689450244,0.012992031827912,-0.104214771414716,-0.0451282180182762,-0.0866181941276236,-0.0565322327762657
"ANXDEP4",-0.129320039852293,0.0561270117120642,0.0744752970836534,0,0.229838415406847,-0.0828111652853704,0.0137120273194836,-0.0616381293973489,0.0140154301806459,0.181637863834645,0.00483208118285572,-0.0468467416441486,0.0398756820428094,0.0257054700569926,0.032024342320236,0.0270606729219786,0.0393923012407281,0.0668853491340381,-0.0191196306026825,0.087350483934054,0.00939527668952933,0.0837188377826924,0.0483638233229847,0.12526134983903,0.0374823639038184,0.0286924474847843,0.0590493358522923,0.0365925108647271,0.0563749899597521,0.0665387386769093,0.00671145064075768,0.00522177530092091,0.0637707789340112,0.074732602852448,-0.03756539027013,0.00164294584090735,0.144643167699142,-0.0469784234644624,-0.0236980820045596,-0.0131833384142492,-0.0338992852447217,0.0468411136704596,0.0173158884441211,0.0962015240613076,0.175593882323547,0.0632736223319763,0.00929003595726591,0.026613708249476,0.0290088916528026,-0.155899930518031,0.00181560569204403,-0.0106580484468499,-0.0302403243964219,0.0232200540318438,-0.00667943502107188,0.00570013372479872,0.00662080674219434,0.00478447386139291,-0.0144179945611396,-0.0300904974307936,0.00378419816050057,-0.0652394869799461,-0.0565129741502861,0.0719389854515861,0.0396820378143636,-0.0363914839774202,-0.0112581686075209,-0.0449735108854794,0.0340837961833192,-0.0250371894171515,-0.11904207490439,-0.133570705284985,-0.0380016537317166,-0.089446747082156,-0.00371638522304099,0.000363067420132979,-0.0736768041866689,-0.0684594802177028,-0.110357782656184,-0.103920041820177,-0.0607005172799869,-0.0885980950604427,-0.00651570855988561,0.0521640567810615,-6.83660053703572e-05,0.23645552377746,-0.0638642556605972,-0.0966139047925697,-0.0431306898373489,0.00568047881710709,-0.0288734605034243,-0.084346403567572,-0.129965561642717,-0.100656272966653,-0.0909470540282549,-0.0853291923951549,-0.0430648488569299,-0.0670612217622011,0.0305089454918191,0.0248404819618374,0.0350430204185618,-0.0299386095733559,-0.0512256490178108,-0.0227789294287764,-0.0509762040095671
"ANXDEP5",-0.0655874946572014,0.0177582748344757,0.0392881531550411,0.229838415406847,0,0.0336047685916745,0.116853530831848,0.0207539270834403,0.0820103034085947,0.235137943775958,0.141299358719,-0.042625388279654,0.175559801580607,-0.0158116152702382,0.0791023379118673,0.0292105225290122,0.0620749006495775,0.111108438172865,-0.0134008879540706,0.10194890887627,0.0443089260945129,0.0338114774583934,0.0908850000226326,0.0614226328793264,0.0519781996079392,0.0766823703704255,0.0354822232417911,0.0853274748232172,0.0114680618327293,0.0428031065179827,0.0740256334512311,-0.039045246869151,0.0277017636787427,0.0830699431962305,-0.0861623280749968,0.0828602201544974,0.104046953213391,0.00278069883087642,-0.0178184051387462,-0.0550313074151197,-0.041175070714895,-0.00753077765504895,-0.0875924711146168,0.0612190555052768,0.0537691880667165,-0.0466824832595662,-0.00566869839589046,0.0153255710420455,0.00913915257990736,-0.050308574195907,-0.0326102541074686,-0.0890672517801547,0.0123310143927949,0.0578450428895792,-0.0740184809680966,-0.0398528707887965,0.0121257363939018,0.0237133616755083,-0.0990172356271577,-0.091924765588302,0.0465913808729565,-0.17220881668551,-0.123813979296789,-0.0435208057310205,0.0309280140759756,-0.101927186655985,-0.202020466506346,-0.137897936366402,-0.035324723713015,-0.0452429094291916,-0.141988764007375,-0.213490411659804,-0.131096926634215,-0.176498905765119,0.0631429346156599,-0.0451593040391647,-0.142707661170915,-0.295011803539971,-0.201519788623428,-0.174270551218024,-0.133948496742412,-0.10747711604352,-0.0675121665804099,-0.0839309598983552,-0.0161127713321852,0.0662070018337714,-0.238815950076807,-0.0365592161778593,-0.123540537905438,0.0217844010757826,-0.137702898845579,-0.158991735560518,-0.136885056379778,-0.237927872513709,-0.162026862177638,-0.120043690340617,-0.0573669796181588,0.0344980443676405,0.0496149241038744,0.0747993694116212,-0.00365620063961358,-0.0750673196972233,-0.0239583788902069,-0.143065613543648,-0.0574794682292312
"ANXDEP6",-0.085970015928514,-0.186333502070408,-0.110698209390176,-0.0828111652853705,0.0336047685916745,0,0.0636746740743293,-0.204660026591391,-0.197337639472119,-0.110586992659771,-0.119660976280161,0.00132072520296844,-0.140218458261806,0.1115685755808,0.000516850754327447,0.0154749350438748,-0.0124753185317173,-0.00619791713687767,0.000925831416538569,0.146641288660065,0.0154866649722951,-0.00743021005636407,0.045341709556979,0.0511228747205453,0.069410205701456,0.0121667522696564,0.00374007609486421,-0.0014600042018787,0.0245789880989226,-0.0101911148408541,0.0109312393211835,-0.0647440458341636,0.0243531221424712,0.179588028261,0.00785691132513838,0.145564471621016,0.216628641529729,-0.024028749441584,0.0237887134385842,0.0142162446332804,-0.0820200922709688,-0.0358965207209476,-0.050400417872733,-0.00506156495722621,0.138711292662587,-0.0404126112409918,-0.0641723076559143,-0.0324626741461081,-0.0364279722083354,-0.036294368647376,-0.0700619725893197,-0.0386256520907986,0.00550106161976921,-0.0145002575168363,-0.0610596829725704,-0.051354292299059,-0.075965482590958,0.0159027088384626,0.0481787499588455,-0.00713476022662296,-0.000727306075643031,-0.0807599341432496,-0.0701413131624962,-0.0150193451024391,-0.0488571847264429,-0.0074436159152737,-0.0139402422499191,-0.0835809533854905,-0.045180128944331,0.0150699646385183,0.000427715990220512,-0.0451644847394606,-0.0586159197925292,-0.0177156920968534,-0.0365454883882023,0.0788914050829697,-0.0555590658600688,-0.0775734614713298,-0.0182905190468978,-0.0503367473329165,0.0188540900011829,-0.00797169818347293,0.00187606510197504,-0.0804002423171061,-0.0035194462540859,-0.798323979599122,-0.0629249833014796,0.0829653781209093,0.0435389564594389,0.0806479547015421,0.00526495921631942,0.0265578952483215,0.0398050945115938,-0.0766692008687026,-0.0474884068451002,0.0353329114095805,0.0815866891037187,0.0566087701195823,0.106962463114103,0.141226849552833,0.0673512981570317,0.00497535574222041,0.0871653864204279,0.0300073658680201,-0.00191704176664925
"ANXDEP7",-0.157224799523957,-0.12208073710056,-0.0261161317112363,0.0137120273194836,0.116853530831848,0.0636746740743293,0,-0.168521026000683,-0.0848671453064763,0.0516450486307409,-0.0215713098952104,0.0298361257103289,-0.0312378684455089,0.0909691220710802,0.0579932411748693,-0.00344245307557267,-0.000610093429863012,0.0329708536059553,0.0430664640205299,0.218228239516346,0.0592490560903954,0.0332608819492292,0.0862901423567118,0.0432876146447158,0.0450865553905521,0.0447707759866869,0.0357315535320337,0.0537841184823822,-0.00250493180360328,-0.0089051214889741,0.0347949367092896,-0.041833928875245,-0.0347735323240568,0.159732308316557,0.00588609218996233,0.0315507870911575,0.181513057570381,-0.00237466557378091,0.0736387224601272,0.0391843456032607,-0.011924887944575,0.0119604618925829,0.00493073679080042,0.0164939034681183,0.191147983954542,-0.00690743943515504,-0.0319702516654137,0.00163319102670506,0.00587681310297034,-0.0304330817320564,-0.0905443905378671,-0.0789653927162096,-0.016599488832733,-0.0224382430089669,-0.0704468302768483,-0.0262421009773898,-0.025810423791801,0.0190111715715301,0.0706587878454647,0.0207295147933065,-0.0444514110390549,-0.0390385273672281,-0.0553866392721259,0.0286294460709364,0.0575880232120093,0.0215212628407541,0.0357496544174473,-0.00801415385014398,0.0104639288237914,-0.0389700192422564,-0.129129096071688,-0.109903702701223,-0.101798089825244,-0.0951393862343188,-0.0713033129962227,0.0789884033748459,-0.0465782866145865,-0.0591711963796543,-0.0739970699588847,-0.103980629136734,-0.0340953704921156,-0.0119208356102007,0.0192347256809606,-0.0648509513653381,-0.0184577212672407,-0.793741567945017,-0.136960584630952,-0.0264176898016767,-0.0668089193828562,-0.000504330130821962,-0.0767068121853391,-0.0947842572505722,-0.067467183533588,-0.104724002201743,-0.105861530221682,-0.0561319640397684,-0.0534280945285929,0.0295806842912735,0.0707808709382647,0.124622766635256,0.00774846841869253,-0.0570978135162375,-0.00555498974479096,-0.0451429066948794,-0.0362436662506402
"ANXDEP8",-0.120574773274518,-0.00120135689657341,-0.113463836922223,-0.0616381293973489,0.0207539270834403,-0.20466002659139,-0.168521026000683,0,0.118924188571745,-0.0264789506819859,-0.0641730558125636,-0.178046593418012,0.043620369599772,0.00565804016234772,0.0441703675031433,0.0244691551582238,0.0374938021178396,0.112274130860529,-0.00792563532583818,0.0619783987024837,0.0167174856270414,0.115045274628289,0.115835158063258,0.0954908321803882,0.0391623076445494,0.014352448386115,0.027984770862169,0.0293711824968637,-0.000944116635810233,0.0418322808550191,0.0497445448690054,-0.0560301747492267,0.0734673965473521,0.0146902821560272,-0.049060171000087,0.00411271106892469,0.00447152469276191,-0.0196606767985249,-0.0328084237354438,-0.016799119763462,-0.00433030649049082,-0.0140197754200136,0.00158634463952498,0.0878819492464337,0.0265306427147052,-0.0869336793632227,0.285110448334063,0.0321530553859731,0.00505631819711994,-0.00322711943932202,0.0615762172736555,-0.0374055326936479,0.0686492699550796,-0.0030385794088737,0.0231846936361504,-0.00299831184415184,0.0147038399221696,0.112115391044341,0.0136213386636372,-0.0101358103971372,-0.0303875794952296,-0.0438548951697518,0.0298675530575577,0.0804280314634147,0.0368343948348781,0.0068733686434117,-0.0197793913629633,-0.02700468856237,0.0290342099555634,-0.00745022558041264,-0.0703631022535445,-0.113311517728121,-0.0737898423787707,-0.0877181602327752,-0.0417272166623998,0.000711979286731945,-0.0439113525178607,-0.0161772595287256,-0.0966947060931073,-0.0964474239933166,-0.0484822752597984,-0.0184134714666876,-0.0224768537219064,-0.153755955252387,-0.0120912750635169,-0.825745807636299,-0.0925244910721438,-0.0330233683528319,-0.0960658912773565,0.032337145367375,-0.0384406750934267,-0.0905736612514714,-0.0736004214889419,-0.103113642185727,-0.0770286172353356,-0.0882450236549562,0.0186003959288952,0.0161175707302504,0.0374120672900257,0.0469392481743612,0.0822049806206517,-0.0601968799027212,0.00506557786089135,-0.0856294367687919,0.0150388573673423
"ANXDEP9",-0.101029137202143,0.15339693984978,-0.0114784638221315,0.0140154301806459,0.0820103034085948,-0.197337639472119,-0.0848671453064763,0.118924188571745,0,0.0757806566916428,0.000575810870438787,-0.158713239378454,0.162616119301129,-0.00658615715029676,0.0241584165571423,0.0333721492438623,-0.0254640406291201,0.190464165104875,0.0355855507528327,0.0689011782716234,0.05325166943472,0.140074209169136,0.0988563627715941,0.151552276034478,0.0662853925975352,0.0373914441297973,0.0487658484953459,0.0957693513418983,0.0174947332907154,0.0222634331493634,0.0884392500137098,-0.0275733110022431,0.154901808703214,0.0503022430329924,-0.0917888818212262,-0.0268191868471149,0.0123106204556598,-0.0354886509232763,-0.0404004656129943,-0.0536064315710454,-0.00841649127244254,0.00393003331193703,-0.0176354855383712,0.108976014324187,0.00807614277719043,-0.00369882554594719,0.136987106335232,-0.0277994944859321,-0.0190929036082206,-0.0372966819893105,0.0364750204485165,0.0550647938030783,0.0330344482508512,-0.00425800714148544,-0.0101725306469651,-0.0233242086047992,0.0129747792428279,0.119770883054033,0.013624248696715,-0.0359303820715269,-0.107623455511367,-0.0615523200897333,-0.0423678542877591,0.0796371186488369,0.0404617073625591,-0.0546057306016621,-0.0683137688007315,-0.0481805734836717,0.0421803567425917,-0.0944384006936845,-0.164981248875814,-0.192336122718334,-0.175507690810276,-0.169664105617925,-0.0929894762257751,-0.0309991122986755,-0.134802434342416,-0.147876925411905,-0.188556964912357,-0.221404090903448,-0.11581093690622,-0.0695988430362041,-0.00480430908772843,-0.147010724652945,-0.0860400080491942,0.0659038396005526,-0.131125628426237,-0.0858800426642959,-0.164880362212346,-0.00614943166927462,-0.126435569093511,-0.162894184652375,-0.114225450580072,-0.185728998359002,-0.167188914736138,-0.11639865407154,-0.0498247920727527,-0.014757716666246,0.00786981493048955,0.0502683854052745,0.00289850654129542,-0.124829335236167,-0.0425068294897297,-0.12175334531174,-0.0464827137705808
"ANXDEP10",-0.0693738319347219,-0.0248448967749143,-0.0146280222574458,0.181637863834645,0.235137943775958,-0.110586992659771,0.0516450486307409,-0.0264789506819859,0.0757806566916428,0,0.0332480936657643,-0.0827058901525433,0.117857025068306,-0.00245440065945091,0.0427281070802987,-0.00238592419745109,0.0014869906461234,0.0771517256919335,0.033041741159802,0.148559728671272,0.0172305146446966,0.121375876222211,0.11284506296178,0.171731435568172,0.126715898689466,0.0927271027203651,0.0612516427030262,0.116403461395167,0.0720780795368611,0.0588130796803331,0.0891304029132777,0.0398948427776259,0.0208516248458536,0.0942288627730516,-0.109039052954578,-0.0106298517778103,0.083490742622756,0.0187718824356561,0.0128192479844175,-0.0334690536844929,-0.0161257526970098,-0.0210943968116707,-0.0143996788746251,0.0642805194452247,0.188022502761745,0.0347555856593128,0.027094205064048,-0.0254419107199966,-0.0237796791618193,-0.128511945246489,-0.0203795198033689,-0.011230423781366,-0.00576261587432464,-0.0193086421406533,-0.0735956330914425,-0.0238087564876058,0.0100552171753716,0.0406720212285884,-0.0317666382233856,-0.0367700042762611,-0.0669999134564791,-0.115082211270828,-0.0559727377440492,0.0682872237040443,0.0642199347373207,-0.036366723465477,-0.100948725594514,-0.0493115109847181,0.0103940529089963,-0.113602166561822,-0.22315782352551,-0.175609309859313,-0.0508654298761002,-0.159896419397401,-0.00671363597045191,-0.0180321533854528,-0.133223690312229,-0.180970325984179,-0.180000093010713,-0.13731445662558,-0.069392583559729,-0.0432896683317772,0.0438192763204723,0.0714982808783037,0.0525227828952507,-0.734296264855529,-0.170837390385049,-0.103757308622438,-0.114813160828551,0.0086758744948669,-0.0914676738507684,-0.147825840154542,-0.158147533377242,-0.167661682055822,-0.14698885702922,-0.108435983707096,-0.0508297236080009,-0.0253613167714042,0.0143294400394869,0.0740539925988944,0.0311433434875641,-0.0431020029467605,-0.030734717045293,-0.115374112433241,0.00245718922288191
