"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","ANXDEP","=~","ANXDEP1","",0.701,0.013,54.42,0,0.676,0.726
"2","ANXDEP","=~","ANXDEP2","",0.551,0.012,44.473,0,0.526,0.575
"3","ANXDEP","=~","ANXDEP3","",0.686,0.018,37.118,0,0.65,0.723
"4","ANXDEP","=~","ANXDEP4","",0.657,0.015,44.61,0,0.628,0.686
"5","ANXDEP","=~","ANXDEP5","",0.48,0.012,39.995,0,0.456,0.504
"6","ANXDEP","=~","ANXDEP6","",0.814,0.01,81.483,0,0.794,0.833
"7","ANXDEP","=~","ANXDEP7","",0.803,0.01,82.839,0,0.784,0.822
"8","ANXDEP","=~","ANXDEP8","",0.803,0.009,92.783,0,0.786,0.82
"9","ANXDEP","=~","ANXDEP9","",0.758,0.009,88.385,0,0.741,0.775
"10","ANXDEP","=~","ANXDEP10","",0.691,0.015,46.119,0,0.662,0.721
"11","ANXDEP","=~","ANXDEP11","",0.691,0.009,77.019,0,0.674,0.709
"12","ANXDEP","=~","ANXDEP12","",0.745,0.021,34.796,0,0.703,0.787
"13","ANXDEP","=~","ANXDEP13","",0.715,0.008,86.064,0,0.699,0.731
"14","WITHDEP","=~","WITHDEP1","",0.764,0.014,56.363,0,0.737,0.791
"15","WITHDEP","=~","WITHDEP2","",0.623,0.012,51.69,0,0.599,0.646
"16","WITHDEP","=~","WITHDEP3","",0.702,0.014,51.049,0,0.675,0.729
"17","WITHDEP","=~","WITHDEP4","",0.72,0.012,60.481,0,0.696,0.743
"18","WITHDEP","=~","WITHDEP5","",0.519,0.013,40.853,0,0.494,0.544
"19","WITHDEP","=~","WITHDEP6","",0.694,0.016,44.593,0,0.663,0.724
"20","WITHDEP","=~","WITHDEP7","",0.854,0.011,80.359,0,0.833,0.875
"21","WITHDEP","=~","WITHDEP8","",0.777,0.013,59.181,0,0.751,0.803
"22","SOMATIC","=~","SOMATIC1","",0.738,0.016,45.841,0,0.706,0.769
"23","SOMATIC","=~","SOMATIC2","",0.545,0.019,28.7,0,0.508,0.582
"24","SOMATIC","=~","SOMATIC3","",0.716,0.023,31.827,0,0.672,0.76
"25","SOMATIC","=~","SOMATIC4","",0.846,0.021,40.291,0,0.805,0.887
"26","SOMATIC","=~","SOMATIC5","",0.577,0.017,34.96,0,0.545,0.609
"27","SOMATIC","=~","SOMATIC6","",0.561,0.014,39.871,0,0.533,0.589
"28","SOMATIC","=~","SOMATIC7","",0.741,0.013,55.16,0,0.715,0.767
"29","SOMATIC","=~","SOMATIC8","",0.495,0.028,17.521,0,0.439,0.55
"30","SOMATIC","=~","SOMATIC9","",0.447,0.019,23.865,0,0.411,0.484
"31","SOMATIC","=~","SOMATIC10","",0.664,0.012,55.527,0,0.64,0.687
"32","SOMATIC","=~","SOMATIC11","",0.531,0.025,21.439,0,0.483,0.58
"33","SOCIAL","=~","SOCIAL1","",0.636,0.011,57.156,0,0.614,0.658
"34","SOCIAL","=~","SOCIAL2","",0.703,0.011,63.814,0,0.682,0.725
"35","SOCIAL","=~","SOCIAL3","",0.794,0.009,85.295,0,0.775,0.812
"36","SOCIAL","=~","SOCIAL4","",0.712,0.009,77.801,0,0.694,0.73
"37","SOCIAL","=~","SOCIAL5","",0.753,0.014,55.543,0,0.726,0.779
"38","SOCIAL","=~","SOCIAL6","",0.527,0.013,39.906,0,0.501,0.553
"39","SOCIAL","=~","SOCIAL7","",0.698,0.01,68.296,0,0.678,0.718
"40","SOCIAL","=~","SOCIAL8","",0.781,0.01,79.032,0,0.762,0.801
"41","SOCIAL","=~","SOCIAL9","",0.654,0.012,53.729,0,0.63,0.678
"42","SOCIAL","=~","SOCIAL10","",0.558,0.012,45.835,0,0.534,0.581
"43","SOCIAL","=~","SOCIAL11","",0.352,0.017,21.17,0,0.32,0.385
"44","THOUGHT","=~","THOUGHT1","",0.767,0.008,94.09,0,0.751,0.783
"45","THOUGHT","=~","THOUGHT2","",0.684,0.033,20.912,0,0.62,0.748
"46","THOUGHT","=~","THOUGHT3","",0.635,0.029,21.854,0,0.578,0.691
"47","THOUGHT","=~","THOUGHT4","",0.639,0.014,46.627,0,0.612,0.666
"48","THOUGHT","=~","THOUGHT5","",0.517,0.012,43.102,0,0.494,0.541
"49","THOUGHT","=~","THOUGHT6","",0.475,0.036,13.218,0,0.404,0.545
"50","THOUGHT","=~","THOUGHT7","",0.468,0.03,15.824,0,0.41,0.526
"51","THOUGHT","=~","THOUGHT8","",0.746,0.013,57.541,0,0.72,0.771
"52","THOUGHT","=~","THOUGHT9","",0.652,0.032,20.669,0,0.59,0.713
"53","THOUGHT","=~","THOUGHT10","",0.582,0.014,40.424,0,0.554,0.611
"54","THOUGHT","=~","THOUGHT11","",0.568,0.012,45.781,0,0.544,0.592
"55","THOUGHT","=~","THOUGHT12","",0.829,0.013,62.486,0,0.803,0.855
"56","THOUGHT","=~","THOUGHT13","",0.716,0.014,52.51,0,0.689,0.743
"57","THOUGHT","=~","THOUGHT14","",0.321,0.015,21.669,0,0.292,0.35
"58","THOUGHT","=~","THOUGHT15","",0.63,0.012,51.634,0,0.606,0.654
"59","ATTENTION","=~","ATTENT1","",0.663,0.011,62.633,0,0.642,0.684
"60","ATTENTION","=~","ATTENT2","",0.785,0.007,117.047,0,0.772,0.798
"61","ATTENTION","=~","ATTENT3","",0.569,0.012,48.466,0,0.546,0.592
"62","ATTENTION","=~","ATTENT4","",0.874,0.004,204.179,0,0.866,0.883
"63","ATTENTION","=~","ATTENT5","",0.797,0.006,124.195,0,0.785,0.81
"64","ATTENTION","=~","ATTENT6","",0.745,0.014,53.589,0,0.717,0.772
"65","ATTENTION","=~","ATTENT7","",0.642,0.01,63.675,0,0.622,0.662
"66","ATTENTION","=~","ATTENT8","",0.878,0.006,138.854,0,0.866,0.891
"67","ATTENTION","=~","ATTENT9","",0.741,0.011,70.466,0,0.72,0.761
"68","ATTENTION","=~","ATTENT10","",0.882,0.004,209.124,0,0.874,0.89
"69","ATTENTION","=~","ATTENT11","",0.745,0.012,61.631,0,0.721,0.769
"70","RULE_BR","=~","RULE_BR1","",0.32,0.107,2.975,0.003,0.109,0.53
"71","RULE_BR","=~","RULE_BR2","",0.77,0.01,77.005,0,0.751,0.79
"72","RULE_BR","=~","RULE_BR3","",0.895,0.006,143.707,0,0.883,0.907
"73","RULE_BR","=~","RULE_BR4","",0.621,0.015,40.883,0,0.591,0.651
"74","RULE_BR","=~","RULE_BR5","",0.767,0.008,98.787,0,0.752,0.783
"75","RULE_BR","=~","RULE_BR6","",0.537,0.013,40.803,0,0.511,0.563
"76","RULE_BR","=~","RULE_BR7","",0.794,0.036,22.143,0,0.724,0.864
